Date,Open,High,Low,Close,Volume,Adj Close
2015-01-14,170.02,230.89,152.4,170.0,123651.53024554,170.0
2015-01-15,207.4,233.9,161.1,207.6,85879.83510188,207.6
2015-01-16,208.07,223.15,198.04,208.36,35597.32515196,208.36
2015-01-17,199.25,212.84,192.17,199.55,20411.90003174,199.55
2015-01-18,210.59,222.0,195.02,211.33,18446.0451782,211.33
2015-01-19,217.53,220.94,207.7,217.9,12773.52750069,217.9
2015-01-20,210.74,218.69,201.98,212.15,14264.39672023,212.15
2015-01-21,224.23,228.37,205.0,224.23,22058.93414655,224.23
2015-01-22,232.43,239.0,224.0,232.85,26615.64881749,232.85
2015-01-23,230.31,240.0,225.55,231.64,15196.56151187,231.64
2015-01-24,249.02,249.99,230.03,249.02,13639.38995709,249.02
2015-01-25,253.67,256.5,241.33,254.38,24742.51711209,254.38
2015-01-26,271.7,309.9,246.0,272.63,59881.16354191,272.63
2015-01-27,262.89,278.51,243.1,263.47,21378.98765226,263.47
2015-01-28,237.01,266.45,225.91,237.77,27343.26316529,237.77
2015-01-29,232.83,242.18,220.0,233.0,26341.97565492,233.0
2015-01-30,231.13,244.98,227.26,231.66,19962.76102563,231.66
2015-01-31,224.01,234.8,224.0,224.0,17198.81124349,224.0
2015-02-01,226.38,233.0,208.48,227.16,21286.17129402,227.16
2015-02-02,239.17,239.06,221.79,239.06,13353.25755656,239.06
2015-02-03,230.17,244.39,223.79,230.59,19503.44495952,230.59
2015-02-04,226.28,231.0,220.02,227.21,15317.11566135,227.21
2015-02-05,217.71,229.0,210.43,218.56,13109.82600982,218.56
2015-02-06,222.51,225.86,210.59,223.34,10171.82832927,223.34
2015-02-07,228.32,231.14,220.34,229.2,10535.33245242,229.2
2015-02-08,224.19,232.89,217.28,224.39,13626.9610699,224.39
2015-02-09,220.21,225.99,215.0,220.45,19552.80574817,220.45
2015-02-10,221.12,222.0,215.0,221.12,6870.11114958,221.12
2015-02-11,219.42,223.43,217.99,219.5,10693.04312309,219.5
2015-02-12,222.82,223.09,218.01,222.85,6650.59313918,222.85
2015-02-13,236.6,242.35,221.37,236.6,21725.59480607,236.6
2015-02-14,258.81,259.31,236.5,258.81,19076.36039705,258.81
2015-02-15,234.0,267.92,227.75,234.0,29869.0755623,234.0
2015-02-16,236.59,241.23,229.2,237.04,12378.49268162,237.04
2015-02-17,242.9,248.78,232.01,243.2,12729.6567952,243.2
2015-02-18,235.39,247.0,232.01,235.98,13198.1902489,235.98
2015-02-19,241.83,244.78,235.11,241.78,7942.64380697,241.78
2015-02-20,245.74,249.32,239.41,245.74,10167.41355707,245.74
2015-02-21,245.88,247.8,244.0,245.89,3040.50470803,245.89
2015-02-22,235.75,247.42,232.48,235.72,7750.9993501,235.72
2015-02-23,238.69,241.0,232.05,238.88,6326.04521305,238.88
2015-02-24,239.45,240.97,236.07,239.45,5157.09348497,239.45
2015-02-25,237.8,240.98,236.0,237.99,3697.65853028,237.99
2015-02-26,236.58,238.55,234.01,236.38,5549.0410482,236.38
2015-02-27,253.7,256.15,236.16,253.94,21937.7568956,253.94
2015-02-28,253.28,254.56,245.2,253.39,5681.02758543,253.39
2015-03-01,256.01,260.25,245.0,257.59,9131.54434169,257.59
2015-03-02,272.79,275.0,254.42,272.99,17036.59468822,272.99
2015-03-03,278.94,284.95,265.89,278.94,22435.30898979,278.94
2015-03-04,269.46,283.88,264.94,269.45,14247.71137488,269.45
